2|A CLOCKWORK ORANGE|Anthony|Burgess|MLR|MLB
2|A CHRISTMAS CAROL|Charles|Dickens|BKML|BBC
1|ZULEIKA DOBSON|Max|Beerbohm|MLB
1|ZEN AND THE ART OF MOTORCYCLE MAINTENANCE|Robert|Pirsig|MLR
1|YOU SHALL KNOW OUR VELOCITY|Dave|Eggers|HB
1|YARROW|Charles de|Lint|MLR
1|WOMEN IN LOVE|D.H.|Lawrence|MLB
1|WISE BLOOD|Flannery|O'Connor|MLR
1|WINNIE THE POOH|AA|Milne|BBC
1|WINESBURG, OHIO|Sherwood|Anderson|MLB
1|WIDE SARGASSO SEA|Jean|Rhys|MLB
1|WHITE NOISE|Don|DeLillo|HB
1|WE THE LIVING|Ayn|Rand|MLR
1|WATER FOR ELEPHANTS|Sara|Gruen|NPR
1|WATCHMEN|Alan|Moore|HB
1|VICKY ANGEL|Jacqueline|Wilson|BBC
1|VANITY FAIR|William Makepeace|Thackeray|GR
1|UNDER THE TUSCAN SUN|Frances|Mayes|NPR
1|UNDER THE NET|Iris|Murdoch|MLB
1|TWILIGHT|Stephenie|Meyer|NPR
1|TRUSTEE FROM THE TOOLROOM|Nevil|Shute|MLR
1|TRADER|Charles de|Lint|MLR
1|TOBACCO ROAD|Erskine|Caldwell|MLB
1|TISHA: THE STORY OF A YOUNG TEACHER IN THE ALASKAN WILDERNESS|Robert|Specht|BKML
1|TIME AND AGAIN|null|Finney|BKML
1|THINGS FALL APART|Chinua|Achebe|GR
1|THE WORM OUROBOROS|E.R.|Eddison|MLR
1|THE WOOD WIFE|Terri|Windling|MLR
1|THE WOMAN IN WHITE|Wilkie|Collins|BBC
1|THE WINGS OF THE DOVE|Henry|James|MLB
1|THE WIND-UP BIRD CHRONICLE|Haruki|Murakami|HB
1|THE WAY OF ALL FLESH|Samuel|Butler|MLB
1|THE WAPSHOT CHRONICLES|John|Cheever|MLB
1|THE VICAR OF WAKEFIELD|Oliver|Goldsmith|GR
1|THE TWITS|Roald|Dahl|BBC
1|THE TUNNEL|William H.|Gass|GR
1|THE TIN DRUM|Günter|Grass|GR
1|THE TIME TRAVELER'S WIFE|Audrey|Niffenegger|NPR
1|THE TENTH MAN|Graham|Greene|GR
1|THE TALE OF GENJI|Murasaki|Shikibu|GR
1|THE STUDS LONIGAN TRILOGY|James T.|Farrell|MLB
1|THE STRANGER|Albert|Camus|HB
1|THE STORY OF TRACY BEAKER|Jacqueline|Wilson|BBC
1|THE SOT-WEED FACTOR|John|Barth|GR
1|THE SHINING|Stephen|King|NPR
1|THE SECRET AGENT|Joseph|Conrad|MLB
1|THE SEA, THE SEA|Iris|Murdoch|HB
1|THE SATANIC VERSES|Salman|Rushdie|MLR
1|THE ROAD|Cormac|McCarthy|NPR
1|THERESE RAQUIN|Émile|Zola|GR
1|THE RED TENT|Anita|Diamant|NPR
1|THE RAZOR'S EDGE|W. Somerset|Maugham|HB
1|THE RAINBOW|D.H.|Lawrence|MLB
1|THE RAGGED TROUSERED PHILANTHROPISTS|Robert|Tressell|BBC
1|THE PUPPET MASTERS|Robert|Heinlein|MLR
1|THE PRINCESS DIARIES|Meg|Cabot|BBC
1|THE PRINCESS BRIDE|William|Goldman|NPR
1|THE PRIME OF MISS JEAN BRODIE|Muriel|Spark|MLB
1|THE POSTMAN ALWAYS RINGS TWICE|James M.|Cain|MLB
1|THE POISONWOOD BIBLE|Barbara|Kingsolver|NPR
1|THE PLAGUE|Albert|Camus|GR
1|THE PILOT'S WIFE|Anita|Shreve|NPR
1|THE PHANTOM TOLLBOOTH|Norton|Juster|HB
1|THE ONCE AND FUTURE KING|null|White|BKML
1|THE OLD WIVES' TALE|Arnold|Bennett|MLB
1|THE ODYSSEY|Homer|Homer|HB
1|THE NO. 1 LADIES' DETECTIVE AGENCY|Alexander McCall|Smith|NPR
1|THE NAKED AND THE DEAD|Norman|Mailer|MLB
1|THE MOON IS A HARSH MISTRESS|Robert|Heinlein|MLR
1|THE METAMORPHOSIS|Franz|Kafka|GR
1|THE MERRY ADVENTURES OF ROBIN HOOD|Howard|Pyle|HB
1|THE MAGNIFICENT AMBERSONS|Booth|Tarkington|MLB
1|THE MAGIC MOUNTAIN|Thomas|Mann|GR
1|THE MAGIC FARAWAY TREE|Enid|Blyton|BBC
1|THE LITTLE COUNTRY|Charles de|Lint|MLR
1|THE LIFE AND OPINIONS OF TRISTRAM SHANDY, GENTLEMAN|Laurence|Sterne|GR
1|THE LEFT HAND OF DARKNESS|Ursula K. Le|Guin|HB
1|THE KITE RUNNER|Khaled|Hosseini|NPR
1|THE JOY LUCK CLUB|Amy|Tan|NPR
1|THE HORSE WHISPERER|null|Evans|BKML
1|THE HISTORY OF TOM JONES, A FOUNDLING|Henry|Fielding|GR
1|THE HISTORIES|Herodotus|Herodotus|HB
1|THE HEART OF THE MATTER|Graham|Greene|MLB
1|THE HAUNTING OF HILL HOUSE|Shirley|Jackson|MLR
1|THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY|Mary Ann Shaffer and Annie|Barrows|NPR
1|THE GOOD SOLDIER|Ford Madox|Ford|MLB
1|THE GOLDEN BOWL|Henry|James|MLB
1|THE GOD OF SMALL THINGS|Arundhati|Roy|BBC
1|THE GIVER|Lois|Lowry|BKML
1|THE GIRL WITH THE DRAGON TATTOO|Stieg|Larsson|NPR
1|THE GINGER MAN|J.P.|Donleavy|MLB
1|THE FRENCH LIEUTENANT'S WOMAN|John|Fowles|MLR
1|THE FORSYTE SAGA|John|Galsworthy|GR
1|THE DOOR INTO SUMMER|Robert|Heinlein|MLR
1|THE DIVINERS|Margaret|Laurence|GR
1|THE DIVINE COMEDY|Dante|Alighieri|HB
1|THE DESTINIES OF DARCY DANCER, GENTLEMAN|J.P.|Donleavy|GR
1|THE DEATH OF VIRGIL|Hermann|Broch|GR
1|THE DEATH OF THE HEART|Elizabeth|Bowen|MLB
1|THE DAY OF THE LOCUST|Nathanael|West|MLB
1|THE CUNNING MAN|Robertson|Davies|MLR
1|THE COMPLETE STORIES|Flannery|O'Connor|HB
1|THE COLOUR OF MAGIC|Terry|Pratchett|BBC
1|THE COLOR PURPLE|null|Walker|BKML
1|THE BROTHERS KARAMAZOV|Fyodor|Dostoyevsky|GR
1|THE BRIEF WONDROUS LIFE OF OSCAR WAO|Junot|Díaz|HB
1|THE BRIDGE OF SAN LUIS REY|Thornton|Wilder|MLB
1|THE BOOK OF THE NEW SUN|Gene|Wolfe|HB
1|THE BONE PEOPLE|Keri|Hulme|HB
1|THE BLUE SWORD|Robin|McKinley|HB
1|THE BIG SLEEP|Raymond|Chandler|NPR
1|THE BFG|Roald|Dahl|BBC
1|THE BELL JAR|Sylvia|Plath|HB
1|THE AWAKENING|Kate|Chopin|GR
1|THE AMBASSADORS|Henry|James|MLB
1|THE ALCHEMIST|Paulo|Coelho|BBC
1|TENDER IS THE NIGHT|F. Scott|Fitzgerald|MLB
1|SWALLOWS AND AMAZONS|Arthur|Ransome|BBC
1|SUTTREE|Cormac|McCarthy|MLR
1|SUMMER SISTERS|Judy|Blume|NPR
1|STRANGER IN A STRANGE LAND|Robert|Heinlein|MLR
1|STARSHIP TROOPERS|Robert|Heinlein|MLR
1|SONG OF SOLOMON|Toni|Morrison|HB
1|SOMETHING WICKED THIS WAY COMES|Ray|Bradbury|MLR
1|SOMEPLACE TO BE FLYING|Charles de|Lint|MLR
1|SLOUCHING TOWARDS BETHLEHEM: ESSAYS|Joan|Didion|HB
1|SISTER CARRIE|Theodore|Dreiser|MLB
1|SICK PUPPY|Carl|Hiaasen|NPR
1|SHE'S COME UNDONE|Wally|Lamb|NPR
1|SHANE|Jack|Schaefer|MLR
1|SEA OF POPPIES|Amitav|Ghosh|HB
1|SCOOP|Evelyn|Waugh|MLB
1|SCHINDLER'S LIST|null|Keneally|BKML
1|ROLL OF THUNDER, HEAR MY CRY|null|Taylor|BKML
1|RAISE HIGH THE ROOF BEAM, CARPENTERS AND SEYMOUR: AN INTRODUCTION|J. D.|Salinger|HB
1|RAGTIME|E.L.|Doctorow|MLB
1|RABBIT ANGSTROM: THE FOUR NOVELS|John|Updike|GR
1|PRODIGAL SUMMER|Barbara|Kingsolver|NPR
1|PRESUMED INNOCENT|Scott|Turow|NPR
1|POSSESSION|null|Byatt|BKML
1|PORTNOY'S COMPLAINT|Philip|Roth|MLB
1|POPOL VUH: THE MAYAN BOOK OF THE DAWN OF LIFE|Dennis|Tedlock|HB
1|POINT COUNTER POINT|Aldous|Huxley|MLB
1|PIGS IN HEAVEN|null|Kingsolver|BKML
1|PERFUME|Patrick|Suskind|BBC
1|PARADE'S END|Ford Madox|Ford|MLB
1|ORLANDO: A BIOGRAPHY|Virginia|Woolf|HB
1|ON THE BEACH|Nevil|Shute|MLR
1|ONE LONELY NIGHT|Mickey|Spillane|MLR
1|ONE FOR THE MONEY|Janet|Evanovich|NPR
1|ONE FLEW OVER THE CUCKOO'S NEST|Ken|Kesey|MLR
1|NOUGHTS AND CROSSES|Malorie|Blackman|BBC
1|NOSTROMO|Joseph|Conrad|MLB
1|NINE STORIES|J.D.|Salinger|HB
1|NIGHT WATCH|Terry|Pratchett|BBC
1|NATIVE SON|Richard|Wright|MLB
1|NAKED LUNCH|William S.|Burroughs|MLR
1|MYTHAGO WOOD|Robert|Holdstock|MLR
1|MURDER ON THE ORIENT EXPRESS|Agatha|Christie|NPR
1|MULENGRO|Charles de|Lint|MLR
1|MRS. DALLOWAY|Virginia|Woolf|HB
1|MOUNTAINS BEYOND MOUNTAINS: THE QUEST OF DR. PAUL FARMER, A MAN WHO WOULD CURE THE WORLD|Tracy|Kidder|HB
1|MORT|Terry|Pratchett|BBC
1|MOONHEART|Charles de|Lint|MLR
1|MOLLOY|Samuel|Beckett|GR
1|MISTS OF AVALON|null|Bradley|BKML
1|MISSION EARTH|L. Ron|Hubbard|MLR
1|MISERY|null|King|BKML
1|MIDDLESEX|Jeffrey|Eugenides|NPR
1|MEMORY AND DREAM|Charles de|Lint|MLR
1|MEMOIRS OF A GEISHA|Arthur|Golden|BBC
1|MEDITATION ON SPACE-TIME|Leonard|Seet|GR
1|MATILDA|Roald|Dahl|BBC
1|MASON AND DIXON|Thomas|Pynchon|GR
1|MAIN STREET|Sinclair|Lewis|MLB
1|MAGICIAN|Raymond E|Feist|BBC
1|LOVING|Henry|Green|MLB
1|LOST ILLUSIONS|Honoré de|Balzac|GR
1|LOST HORIZON|null|Hilton|BKML
1|LORD JIM|Joseph|Conrad|MLB
1|LITTLE, BIG|John|Crowley|HB
1|LIKE WATER FOR CHOCOLATE|Laura|Esquivel|NPR
1|LIFE OF PI|Yann|Martel|NPR
