3|1891|"TESS OF THE D'URBERVILLES"|"Thomas"|"Hardy"|"BKML"|"BBC"|"GR"||||
3|1938|"REBECCA"|"Daphne Du"|"Maurier"|"BKML"|"BBC"|"NPR"||||
3|1962|"PALE FIRE"|"Vladimir"|"Nabokov"|"MLB"|"GR"|"HB"||||
3|1957|"ON THE ROAD"|"Jack"|"Kerouac"|"BBC"|"MLR"|"MLB"||||
3|1937|"OF MICE AND MEN"|"John"|"Steinbeck"|"BKML"|"BBC"|"GR"||||
3|1918|"MY ANTONIA"|"Willa"|"Cather"|"BKML"|"MLR"|"GR"||||
3|1980|"MIDNIGHT'S CHILDREN"|"Salman"|"Rushdie"|"BBC"|"MLB"|"HB"||||
3|1874|"MIDDLEMARCH"|"George"|"Eliot"|"BBC"|"GR"|"HB"||||
3|1932|"LIGHT IN AUGUST"|"William"|"Faulkner"|"MLR"|"MLB"|"GR"||||
3|1997|"HARRY POTTER"|"J.K."|"Rowling"|"BBC"|"NPR"|"HB"||||
3|1940|"FOR WHOM THE BELL TOLLS"|"Ernest"|"Hemingway"|"BKML"|"GR"|"HB"||||
3|1985|"ENDER'S GAME"|"Orson Scott"|"Card"|"BKML"|"MLR"|"NPR"||||
3|1952|"EAST OF EDEN"|"John"|"Steinbeck"|"BKML"|"NPR"|"GR"||||
3|1965|"DUNE"|"Frank"|"Herbert"|"BBC"|"MLR"|"NPR"||||
3|1850|"DAVID COPPERFIELD"|"Charles"|"Dickens"|"BKML"|"BBC"|"GR"||||
3|1866|"CRIME AND PUNISHMENT"|"Fyodor"|"Dostoyevsky"|"BBC"|"GR"|"HB"||||
3|1987|"BELOVED"|"Toni"|"Morrison"|"BKML"|"MLR"|"HB"||||
3|1859|"A TALE OF TWO CITIES"|"Charles"|"Dickens"|"BKML"|"BBC"|"GR"||||
3|1945|"ANIMAL FARM"|"George"|"Orwell"|"BBC"|"MLR"|"MLB"||||
2|1869|"WAR AND PEACE"|"Leo"|"Tolstoy"|"BBC"|"GR"|||||
